,AvgSalary,City,Company,Designation,Lat,Long,Max Salary,Min Salary,Source,State,Title,_id
36,,Nashville,AllianceBernstein,Data Analyst,,,,,Glassdoor,TN,,5c09e631af11378e24f8796f
37,60.0,Richmond,EAB,Data Analyst,,,73.0,47.0,Glassdoor,VA,,5c09e631af11378e24f87970
38,117.0,Agoura Hills,PennyMac,Data Analyst,,,124.0,110.0,Glassdoor,CA,,5c09e631af11378e24f87971
39,95.0,Crystal City,TeraThink,Data Analyst,,,110.0,80.0,Glassdoor,VA,,5c09e631af11378e24f87972
40,60.0,Centreville,Dimension Data,Data Analyst,,,70.0,50.0,Glassdoor,VA,,5c09e631af11378e24f87973
41,110.0,San Francisco,Healthline Media,Data Analyst,,,127.0,93.0,Glassdoor,CA,,5c09e631af11378e24f87974
42,56.5,Rochester,Eastman Kodak,Data Analyst,,,65.0,48.0,Glassdoor,NY,,5c09e631af11378e24f87975
43,90.5,Boston,Westernacher,Data Analyst,,,107.0,74.0,Glassdoor,MA,,5c09e631af11378e24f87976
44,73.0,Auburn Hills,Comerica Bank,Data Analyst,,,87.0,59.0,Glassdoor,MI,,5c09e631af11378e24f87977
45,,Norfolk,"Frontier Technology, Inc",Data Analyst,,,,,Glassdoor,VA,,5c09e631af11378e24f87978
46,64.5,Loma Linda,Loma Linda University Medical Center,Data Analyst,,,79.0,50.0,Glassdoor,CA,,5c09e631af11378e24f87979
47,81.5,Crystal City,"Whitney, Bradley and Brown",Data Analyst,,,99.0,64.0,Glassdoor,VA,,5c09e631af11378e24f8797a
48,53.0,Redmond,Pactera,Data Analyst,,,61.0,45.0,Glassdoor,WA,,5c09e631af11378e24f8797b
49,49.0,Jacksonville,Tax Defense Network,Data Analyst,,,56.0,42.0,Glassdoor,FL,,5c09e631af11378e24f8797c
50,,Houston,Convergent,Data Analyst,,,,,Glassdoor,TX,,5c09e631af11378e24f8797d
51,70.0,New York,MarketSearch,Data Analyst,,,80.0,60.0,Glassdoor,NY,,5c09e631af11378e24f8797e
52,60.5,Brookline,"Facing History and Ourselves, Inc",Data Analyst,,,70.0,51.0,Glassdoor,MA,,5c09e631af11378e24f8797f
53,57.0,Charlotte,Investor Management Services,Data Analyst,,,66.0,48.0,Glassdoor,NC,,5c09e631af11378e24f87980
54,62.5,Chicago,NCSA - Next College Student Athlete,Data Analyst,,,72.0,53.0,Glassdoor,IL,,5c09e631af11378e24f87981
55,51.5,Radnor,eMoney Advisor,Data Analyst,,,61.0,42.0,Glassdoor,PA,,5c09e631af11378e24f87982
56,68.5,Bronx,Affinity Health Plan,Data Analyst,,,79.0,58.0,Glassdoor,NY,,5c09e631af11378e24f87983
57,,Norwalk,Remedy Partners,Data Analyst,,,,,Glassdoor,CT,,5c09e631af11378e24f87984
58,,Washington,Georgetown University,Data Analyst,,,,,Glassdoor,DC,,5c09e631af11378e24f87985
59,59.0,New York,RAPP,Data Analyst,,,68.0,50.0,Glassdoor,NY,,5c09e631af11378e24f87986
60,117.0,Agoura Hills,PennyMac,Data Analyst,,,124.0,110.0,Glassdoor,CA,,5c09e631af11378e24f87987
61,54.5,Boston,WordStream,Data Analyst,,,63.0,46.0,Glassdoor,MA,,5c09e631af11378e24f87988
62,107.0,Sunnyvale,Walmart eCommerce,Data Analyst,,,123.0,91.0,Glassdoor,CA,,5c09e631af11378e24f87989
63,79.5,Plano,Bank of America,Data Analyst,,,91.0,68.0,Glassdoor,TX,,5c09e631af11378e24f8798a
64,65.0,Sacramento,UC Davis Health,Data Analyst,,,74.0,56.0,Glassdoor,CA,,5c09e631af11378e24f8798b
65,47.0,Fort Lauderdale,Zimmerman Advertising,Data Analyst,,,53.0,41.0,Glassdoor,FL,,5c09e631af11378e24f8798c
66,95.5,New York,Percolate,Data Analyst,,,110.0,81.0,Glassdoor,NY,,5c09e631af11378e24f8798d
67,90.5,San Francisco,Plethora,Data Analyst,,,104.0,77.0,Glassdoor,CA,,5c09e631af11378e24f8798e
68,83.5,Arlington,Gerber Products,Data Analyst,,,95.0,72.0,Glassdoor,VA,,5c09e631af11378e24f8798f
69,67.5,Portland,comScore,Data Analyst,,,77.0,58.0,Glassdoor,OR,,5c09e631af11378e24f87990
70,68.0,Boston,ezCater,Data Analyst,,,78.0,58.0,Glassdoor,MA,,5c09e631af11378e24f87991
71,,Roanoke,Tekmark Global Solutions,Data Analyst,,,,,Glassdoor,VA,,5c09e631af11378e24f87992
72,67.0,Vancouver,Fisher Investments,Data Analyst,,,76.0,58.0,Glassdoor,WA,,5c09e631af11378e24f87993
73,122.0,San Francisco,Twitch,Data Analyst,,,153.0,91.0,Glassdoor,CA,,5c09e631af11378e24f87994
74,56.5,Rochester,Eastman Kodak,Data Analyst,,,65.0,48.0,Glassdoor,NY,,5c09e631af11378e24f87995
75,87.5,Concord,AssetMark,Data Analyst,,,100.0,75.0,Glassdoor,CA,,5c09e631af11378e24f87996
76,54.0,Boston,MFA Boston,Data Analyst,,,63.0,45.0,Glassdoor,MA,,5c09e631af11378e24f87997
77,63.5,Taunton,The Boston Globe,Data Analyst,,,72.0,55.0,Glassdoor,MA,,5c09e631af11378e24f87998
78,,Fargo,AgCountry Farm Credit Services,Data Analyst,,,,,Glassdoor,ND,,5c09e631af11378e24f87999
79,,New London,Dining Alliance,Data Analyst,,,,,Glassdoor,CT,,5c09e631af11378e24f8799a
80,88.0,Shelton,Lockheed Martin,Data Analyst,,,98.0,78.0,Glassdoor,CT,,5c09e631af11378e24f8799b
81,,Los Angeles,Cameo,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f8799c
82,,Bothell,HUNTER Technical Resources,Data Analyst,,,,,Glassdoor,WA,,5c09e631af11378e24f8799d
83,49.0,Jacksonville,Tax Defense Network,Data Analyst,,,56.0,42.0,Glassdoor,FL,,5c09e631af11378e24f8799e
84,109.5,San Francisco,Rally Health,Data Analyst,,,125.0,94.0,Glassdoor,CA,,5c09e631af11378e24f8799f
85,,Menlo Park,Aquent,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f879a0
86,81.0,New York,Starry,Data Analyst,,,93.0,69.0,Glassdoor,NY,,5c09e631af11378e24f879a1
87,,Phoenix,Saint Lukes Medical Center,Data Analyst,,,,,Glassdoor,AZ,,5c09e631af11378e24f879a2
88,92.5,Detroit,DTE Energy,Data Analyst,,,103.0,82.0,Glassdoor,MI,,5c09e631af11378e24f879a3
89,,Palo Alto,Earnin,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f879a4
90,,Pleasanton,Vitamin T,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f879a5
91,,New York,QED National,Data Analyst,,,,,Glassdoor,NY,,5c09e631af11378e24f879a6
92,,Norwalk,Remedy Partners,Data Analyst,,,,,Glassdoor,CT,,5c09e631af11378e24f879a7
93,57.0,Irvine,Taco Bell,Data Analyst,,,69.0,45.0,Glassdoor,CA,,5c09e631af11378e24f879a8
94,61.5,Draper,"HealthEquity, Inc.",Data Analyst,,,71.0,52.0,Glassdoor,UT,,5c09e631af11378e24f879a9
95,,Cambridge,Hopper,Data Analyst,,,,,Glassdoor,MA,,5c09e631af11378e24f879aa
96,57.5,Austin,SHI International Corp.,Data Analyst,,,66.0,49.0,Glassdoor,TX,,5c09e631af11378e24f879ab
97,,Houston,IronEdge Group,Data Analyst,,,,,Glassdoor,TX,,5c09e631af11378e24f879ac
98,106.5,Parsippany,IQVIA,Data Analyst,,,133.0,80.0,Glassdoor,NJ,,5c09e631af11378e24f879ad
99,71.0,Salem,RADGOV,Data Analyst,,,81.0,61.0,Glassdoor,OR,,5c09e631af11378e24f879ae
100,,Monroe,"Union County, North Carolina",Data Analyst,,,,,Glassdoor,NC,,5c09e631af11378e24f879af
101,80.5,Menlo Park,Mindlance,Data Analyst,,,94.0,67.0,Glassdoor,CA,,5c09e631af11378e24f879b0
102,62.0,Minneapolis,Fairview Health Services,Data Analyst,,,71.0,53.0,Glassdoor,MN,,5c09e631af11378e24f879b1
103,,San Francisco,Envoy,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f879b2
104,71.5,Arlington,Politico,Data Analyst,,,82.0,61.0,Glassdoor,VA,,5c09e631af11378e24f879b3
105,74.5,Boston,Boston Consulting Group,Data Analyst,,,85.0,64.0,Glassdoor,MA,,5c09e631af11378e24f879b4
106,76.0,Tempe,MUFG,Data Analyst,,,86.0,66.0,Glassdoor,AZ,,5c09e631af11378e24f879b5
107,74.0,San Diego,Booz Allen Hamilton Inc.,Data Analyst,,,83.0,65.0,Glassdoor,CA,,5c09e631af11378e24f879b6
108,52.0,Tempe,"Insight Enterprises, Inc.",Data Analyst,,,60.0,44.0,Glassdoor,AZ,,5c09e631af11378e24f879b7
109,79.0,New York,Noom,Data Analyst,,,92.0,66.0,Glassdoor,NY,,5c09e631af11378e24f879b8
110,77.5,Phoenix,SunSoft Online,Data Analyst,,,89.0,66.0,Glassdoor,AZ,,5c09e631af11378e24f879b9
111,53.5,Cambridge,Panjiva,Data Analyst,,,62.0,45.0,Glassdoor,MA,,5c09e631af11378e24f879ba
112,71.5,Hamilton,ABAL Technologies,Data Analyst,,,82.0,61.0,Glassdoor,NJ,,5c09e631af11378e24f879bb
113,65.5,Northbrook,Multivision Inc,Data Analyst,,,75.0,56.0,Glassdoor,IL,,5c09e631af11378e24f879bc
114,60.0,Chicago,Vivid Seats,Data Analyst,,,69.0,51.0,Glassdoor,IL,,5c09e631af11378e24f879bd
115,,Saint Louis,Robert Half,Data Analyst,,,,,Glassdoor,MO,,5c09e631af11378e24f879be
116,,United States,Esurance,Data Analyst,,,,,Glassdoor,United States,,5c09e631af11378e24f879bf
117,58.5,Elk Grove Village,pddninc.net,Data Analyst,,,67.0,50.0,Glassdoor,IL,,5c09e631af11378e24f879c0
118,,Boston,Comlinkdata,Data Analyst,,,,,Glassdoor,MA,,5c09e631af11378e24f879c1
119,109.5,San Francisco,IntelliPro Group Inc.,Data Analyst,,,126.0,93.0,Glassdoor,CA,,5c09e631af11378e24f879c2
120,,New York,Donnelly & Moore Corporation,Data Analyst,,,,,Glassdoor,NY,,5c09e631af11378e24f879c3
121,53.5,Saint Louis,National Geospatial-Intelligence Agency,Data Analyst,,,60.0,47.0,Glassdoor,MO,,5c09e631af11378e24f879c4
122,68.5,Bronx,Affinity Health Plan,Data Analyst,,,79.0,58.0,Glassdoor,NY,,5c09e631af11378e24f879c5
123,,Atlanta,Horizontal Integration,Data Analyst,,,,,Glassdoor,GA,,5c09e631af11378e24f879c6
124,100.0,San Antonio,USAA,Data Analyst,,,113.0,87.0,Glassdoor,TX,,5c09e631af11378e24f879c7
125,,Burlingame,Oh My Green,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f879c8
126,,Jupiter,Smith Hanley Associates,Data Analyst,,,,,Glassdoor,FL,,5c09e631af11378e24f879c9
127,,Cambridge,Hopper,Data Analyst,,,,,Glassdoor,MA,,5c09e631af11378e24f879ca
128,57.5,Austin,SHI International Corp.,Data Analyst,,,66.0,49.0,Glassdoor,TX,,5c09e631af11378e24f879cb
129,59.5,Lawrenceville,M3,Data Analyst,,,73.0,46.0,Glassdoor,GA,,5c09e631af11378e24f879cc
130,68.5,Arlington,Promontory Interfinancial Network,Data Analyst,,,82.0,55.0,Glassdoor,VA,,5c09e631af11378e24f879cd
131,76.5,Atlanta,UPS,Data Analyst,,,88.0,65.0,Glassdoor,GA,,5c09e631af11378e24f879ce
132,78.0,Springfield,Associated Electric Cooperative,Data Analyst,,,89.0,67.0,Glassdoor,MO,,5c09e631af11378e24f879cf
133,,Uniontown,ComDoc,Data Analyst,,,,,Glassdoor,OH,,5c09e631af11378e24f879d0
134,122.0,San Francisco,Twitch,Data Analyst,,,153.0,91.0,Glassdoor,CA,,5c09e631af11378e24f879d1
135,117.5,San Francisco,Fitbit,Data Analyst,,,135.0,100.0,Glassdoor,CA,,5c09e631af11378e24f879d2
136,53.5,Saint Louis,National Geospatial-Intelligence Agency,Data Analyst,,,60.0,47.0,Glassdoor,MO,,5c09e631af11378e24f879d3
137,56.0,Santa Ana,Optima Tax Relief,Data Analyst,,,64.0,48.0,Glassdoor,CA,,5c09e631af11378e24f879d4
138,,San Francisco,The Utility Reform Network,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f879d5
139,,United States,Media Search Inc.,Data Analyst,,,,,Glassdoor,United States,,5c09e631af11378e24f879d6
140,,Roanoke,Tekmark Global Solutions,Data Analyst,,,,,Glassdoor,VA,,5c09e631af11378e24f879d7
141,95.5,Oakland,KAISER,Data Analyst,,,110.0,81.0,Glassdoor,CA,,5c09e631af11378e24f879d8
142,63.5,Taunton,The Boston Globe,Data Analyst,,,72.0,55.0,Glassdoor,MA,,5c09e631af11378e24f879d9
143,,Columbus,Fast Switch,Data Analyst,,,,,Glassdoor,OH,,5c09e631af11378e24f879da
144,74.5,Atlanta,First Advantage Corporation,Data Analyst,,,85.0,64.0,Glassdoor,GA,,5c09e631af11378e24f879db
145,,Fargo,AgCountry Farm Credit Services,Data Analyst,,,,,Glassdoor,ND,,5c09e631af11378e24f879dc
146,,New London,Dining Alliance,Data Analyst,,,,,Glassdoor,CT,,5c09e631af11378e24f879dd
147,88.0,Shelton,Lockheed Martin,Data Analyst,,,98.0,78.0,Glassdoor,CT,,5c09e631af11378e24f879de
148,,Menlo Park,Aquent,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f879df
149,81.0,New York,Starry,Data Analyst,,,93.0,69.0,Glassdoor,NY,,5c09e631af11378e24f879e0
150,,Palo Alto,Earnin,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f879e1
151,,Phoenix,Saint Lukes Medical Center,Data Analyst,,,,,Glassdoor,AZ,,5c09e631af11378e24f879e2
152,,New York,QED National,Data Analyst,,,,,Glassdoor,NY,,5c09e631af11378e24f879e3
153,,New York,MWWPR,Data Analyst,,,,,Glassdoor,NY,,5c09e631af11378e24f879e4
154,43.0,Portland,Standard Insurance Company,Data Analyst,,,52.0,34.0,Glassdoor,OR,,5c09e631af11378e24f879e5
155,40.5,Kirkland,Express Employment Professionals,Data Analyst,,,48.0,33.0,Glassdoor,WA,,5c09e631af11378e24f879e6
156,59.0,Fort Washington,PetroChoice,Data Analyst,,,69.0,49.0,Glassdoor,PA,,5c09e631af11378e24f879e7
157,101.0,Walnut Creek,CSAA Insurance Group,Data Analyst,,,114.0,88.0,Glassdoor,CA,,5c09e631af11378e24f879e8
158,70.5,Milwaukee,Northwestern Mutual,Data Analyst,,,80.0,61.0,Glassdoor,WI,,5c09e631af11378e24f879e9
159,73.5,Portland,Urban Airship,Data Analyst,,,85.0,62.0,Glassdoor,OR,,5c09e631af11378e24f879ea
160,,Fishkill,MedAllies,Data Analyst,,,,,Glassdoor,NY,,5c09e631af11378e24f879eb
161,51.0,Pensacola,"Whitney, Bradley and Brown",Data Analyst,,,63.0,39.0,Glassdoor,FL,,5c09e631af11378e24f879ec
162,47.5,Milan,Group O,Data Analyst,,,57.0,38.0,Glassdoor,IL,,5c09e631af11378e24f879ed
163,149.0,Seattle,Seattle Children's Hospital,Data Analyst,,,172.0,126.0,Glassdoor,WA,,5c09e631af11378e24f879ee
164,79.0,Hicksville,PSEG,Data Analyst,,,93.0,65.0,Glassdoor,NY,,5c09e631af11378e24f879ef
165,,Springfield,Peraton,Data Analyst,,,,,Glassdoor,VA,,5c09e631af11378e24f879f0
166,61.0,Irving,AutoNation,Data Analyst,,,73.0,49.0,Glassdoor,TX,,5c09e631af11378e24f879f1
167,,Houston,IronEdge Group,Data Analyst,,,,,Glassdoor,TX,,5c09e631af11378e24f879f2
168,,Mount Olive,Mt. Olive Pickle,Data Analyst,,,,,Glassdoor,NC,,5c09e631af11378e24f879f3
169,59.5,Greenville,Shellpoint Mortgage Servicing,Data Analyst,,,81.0,38.0,Glassdoor,SC,,5c09e631af11378e24f879f4
170,52.0,Tempe,"Insight Enterprises, Inc.",Data Analyst,,,60.0,44.0,Glassdoor,AZ,,5c09e631af11378e24f879f5
171,72.5,Chicago,Avant,Data Analyst,,,83.0,62.0,Glassdoor,IL,,5c09e631af11378e24f879f6
172,59.0,Dayton,CareSource,Data Analyst,,,68.0,50.0,Glassdoor,OH,,5c09e631af11378e24f879f7
173,,Guilford,Guilford Savings Bank,Data Analyst,,,,,Glassdoor,CT,,5c09e631af11378e24f879f8
174,80.5,Menlo Park,Mindlance,Data Analyst,,,94.0,67.0,Glassdoor,CA,,5c09e631af11378e24f879f9
175,72.5,Lompoc,DenMat,Data Analyst,,,82.0,63.0,Glassdoor,CA,,5c09e631af11378e24f879fa
176,,San Francisco,Envoy,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f879fb
177,,Atlanta,Elite SEM,Data Analyst,,,,,Glassdoor,GA,,5c09e631af11378e24f879fc
178,54.0,Boston,MFA Boston,Data Analyst,,,63.0,45.0,Glassdoor,MA,,5c09e631af11378e24f879fd
179,74.5,Boston,Boston Consulting Group,Data Analyst,,,85.0,64.0,Glassdoor,MA,,5c09e631af11378e24f879fe
180,65.5,Northbrook,Multivision Inc,Data Analyst,,,75.0,56.0,Glassdoor,IL,,5c09e631af11378e24f879ff
181,109.5,San Francisco,Rally Health,Data Analyst,,,125.0,94.0,Glassdoor,CA,,5c09e631af11378e24f87a00
182,,San Francisco,Judicial Council of California,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f87a01
183,,Sunnyvale,Pharmacyclics,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f87a02
184,63.5,Austin,FirstCare Health Plans,Data Analyst,,,77.0,50.0,Glassdoor,TX,,5c09e631af11378e24f87a03
185,109.5,San Francisco,IntelliPro Group Inc.,Data Analyst,,,126.0,93.0,Glassdoor,CA,,5c09e631af11378e24f87a04
186,,New York,Donnelly & Moore Corporation,Data Analyst,,,,,Glassdoor,NY,,5c09e631af11378e24f87a05
187,,Pleasanton,Vitamin T,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f87a06
188,60.0,Pojoaque,Buffalo Thunder Resort & Casino,Data Analyst,,,73.0,47.0,Glassdoor,NM,,5c09e631af11378e24f87a07
189,,Aberdeen Proving Ground,Phoenix Operations Group,Data Analyst,,,,,Glassdoor,MD,,5c09e631af11378e24f87a08
190,122.0,San Francisco,Twitch,Data Analyst,,,153.0,91.0,Glassdoor,CA,,5c09e631af11378e24f87a09
191,73.5,Portland,Urban Airship,Data Analyst,,,85.0,62.0,Glassdoor,OR,,5c09e631af11378e24f87a0a
192,67.5,Manchester,Elliot Health System,Data Analyst,,,77.0,58.0,Glassdoor,NH,,5c09e631af11378e24f87a0b
193,79.0,Hicksville,PSEG,Data Analyst,,,93.0,65.0,Glassdoor,NY,,5c09e631af11378e24f87a0c
194,74.0,Charlotte,Pandera Systems,Data Analyst,,,85.0,63.0,Glassdoor,NC,,5c09e631af11378e24f87a0d
195,65.0,Arlington,Snap,Data Analyst,,,75.0,55.0,Glassdoor,VA,,5c09e631af11378e24f87a0e
196,,Santa Monica,Tastemade,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f87a0f
197,66.5,Richmond,EAB,Data Analyst,,,81.0,52.0,Glassdoor,VA,,5c09e631af11378e24f87a10
198,,Gold River,PTP,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f87a11
199,115.5,Dallas,Analytical Mechanics Associates,Data Analyst,,,132.0,99.0,Glassdoor,TX,,5c09e631af11378e24f87a12
200,,Kansas City,Genesis10,Data Analyst,,,,,Glassdoor,MO,,5c09e631af11378e24f87a13
201,,Miami,SMP Pharmacy Solutions,Data Analyst,,,,,Glassdoor,FL,,5c09e631af11378e24f87a14
202,72.0,Hopkins,American Cybersystems,Data Analyst,,,82.0,62.0,Glassdoor,MN,,5c09e631af11378e24f87a15
203,48.5,Raleigh,North Carolina State University,Data Analyst,,,56.0,41.0,Glassdoor,NC,,5c09e631af11378e24f87a16
204,,Columbus,Brooksource,Data Analyst,,,,,Glassdoor,OH,,5c09e631af11378e24f87a17
205,81.0,Rockville,Centeva,Data Analyst,,,92.0,70.0,Glassdoor,MD,,5c09e631af11378e24f87a18
206,,Boulder,J2T,Data Analyst,,,,,Glassdoor,CO,,5c09e631af11378e24f87a19
207,,Quincy,TEKsystems,Data Analyst,,,,,Glassdoor,MA,,5c09e631af11378e24f87a1a
208,63.5,Houston,Diverse Lynx,Data Analyst,,,75.0,52.0,Glassdoor,TX,,5c09e631af11378e24f87a1b
209,101.5,San Jose,[24]7.ai,Data Analyst,,,117.0,86.0,Glassdoor,CA,,5c09e631af11378e24f87a1c
210,,Dearborn,MSX International,Data Analyst,,,,,Glassdoor,MI,,5c09e631af11378e24f87a1d
211,85.0,New York,Capco,Data Analyst,,,98.0,72.0,Glassdoor,NY,,5c09e631af11378e24f87a1e
212,,Mountain View,Astreya Partners,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f87a1f
213,82.0,San Francisco,eSpark,Data Analyst,,,96.0,68.0,Glassdoor,CA,,5c09e631af11378e24f87a20
214,70.0,Phoenix,IBM,Data Analyst,,,84.0,56.0,Glassdoor,AZ,,5c09e631af11378e24f87a21
215,,New York,TSR,Data Analyst,,,,,Glassdoor,NY,,5c09e631af11378e24f87a22
216,74.0,Florham Park,Asembia,Data Analyst,,,87.0,61.0,Glassdoor,NJ,,5c09e631af11378e24f87a23
217,,Boston,FullFunnel,Data Analyst,,,,,Glassdoor,MA,,5c09e631af11378e24f87a24
218,63.5,Austin,FirstCare Health Plans,Data Analyst,,,77.0,50.0,Glassdoor,TX,,5c09e631af11378e24f87a25
219,,Washington,"TeamGOV, INC.",Data Analyst,,,,,Glassdoor,DC,,5c09e631af11378e24f87a26
220,43.0,Portland,Standard Insurance Company,Data Analyst,,,52.0,34.0,Glassdoor,OR,,5c09e631af11378e24f87a27
221,74.5,Atlanta,First Advantage Corporation,Data Analyst,,,85.0,64.0,Glassdoor,GA,,5c09e631af11378e24f87a28
222,,Beaverton,VanderHouwen,Data Analyst,,,,,Glassdoor,OR,,5c09e631af11378e24f87a29
223,,Miami,Kforce,Data Analyst,,,,,Glassdoor,FL,,5c09e631af11378e24f87a2a
224,62.5,Wilmington,CSC,Data Analyst,,,78.0,47.0,Glassdoor,DE,,5c09e631af11378e24f87a2b
225,,Vancouver,Flux Resources,Data Analyst,,,,,Glassdoor,WA,,5c09e631af11378e24f87a2c
226,66.5,Richmond,EAB,Data Analyst,,,81.0,52.0,Glassdoor,VA,,5c09e631af11378e24f87a2d
227,,Smithfield,Smithfield,Data Analyst,,,,,Glassdoor,VA,,5c09e631af11378e24f87a2e
228,,Seattle,Remitly,Data Analyst,,,,,Glassdoor,WA,,5c09e631af11378e24f87a2f
229,93.0,Norwalk,Crius Energy,Data Analyst,,,115.0,71.0,Glassdoor,CT,,5c09e631af11378e24f87a30
230,48.5,Louisville,Computershare,Data Analyst,,,58.0,39.0,Glassdoor,KY,,5c09e631af11378e24f87a31
231,,Sayre,Guthrie Healthcare,Data Analyst,,,,,Glassdoor,PA,,5c09e631af11378e24f87a32
232,,Monroe,"Union County, North Carolina",Data Analyst,,,,,Glassdoor,NC,,5c09e631af11378e24f87a33
233,71.0,Salem,RADGOV,Data Analyst,,,81.0,61.0,Glassdoor,OR,,5c09e631af11378e24f87a34
234,,San Francisco,Faire,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f87a35
